Date,Hours,direct_normal,total_skycover,dry_bulb_temp,station_pressure,wind_direction,wind_speed
01/01/2005,1,0,10,-3,1013,140,13.9
01/01/2005,2,0,10,-3,1013,130,13.4
01/01/2005,3,0,10,-3,1013,140,15.4
01/01/2005,4,0,10,-3,1013,140,13.9
01/01/2005,5,0,10,-3,1013,140,12.3
01/01/2005,6,0,10,-2.5,1013,140,12.3
01/01/2005,7,0,10,-2,1013,140,12.3
01/01/2005,8,0,10,-1.8,1013,140,12
01/01/2005,9,0,10,-1.8,1013,140,11.6
01/01/2005,10,0,10,-2,1013,140,11.3
01/01/2005,11,0,10,-3,1013,140,11.3
01/01/2005,12,0,10,-2,1013,140,11.8
01/01/2005,13,0,10,-2,1013,140,11.8
01/01/2005,14,0,10,-2,1013,140,14.4
01/01/2005,15,0,10,-1,1013,130,14.4
01/01/2005,16,0,2,-1,1013,130,13.4
01/01/2005,17,0,0,-1,1013,110,9.3
01/01/2005,18,0,0,-1,1013,120,12.9
01/01/2005,19,0,0,-1,1013,120,14.4
01/01/2005,20,0,10,0,1013,110,14.9
01/01/2005,21,0,10,0.4,1013,120,17
01/01/2005,22,0,10,-0.3,1013,120,19
01/01/2005,23,0,10,0,1013,130,21.1
01/01/2005,0,0,10,0,1013,140,20.2
01/02/2005,1,0,10,0,1013,140,19.3
01/02/2005,2,0,10,0.1,1013,150,18.3
01/02/2005,3,0,10,0.6,1013,150,17.4
01/02/2005,4,0,10,0,1013,160,16.5
01/02/2005,5,0,10,-0.3,1013,160,15.5
01/02/2005,6,0,10,-0.7,1013,170,14.4
01/02/2005,7,0,10,-1,1013,170,13.4
01/02/2005,8,0,10,-0.8,1013,170,13.8
01/02/2005,9,0,10,-0.9,1013,160,14.1
01/02/2005,10,0,10,-1.1,1013,160,14.5
01/02/2005,11,0,10,-0.8,1013,160,14.9
01/02/2005,12,0,10,-0.1,1013,160,15.3
01/02/2005,13,0,10,-0.2,1013,150,15.6
01/02/2005,14,0,10,0.5,1013,150,16
01/02/2005,15,0,10,0.7,1013,150,16.4
01/02/2005,16,0,10,0.2,1013,150,16.8
01/02/2005,17,0,10,0.7,1013,140,17.1
01/02/2005,18,0,10,1,1013,140,17.5
01/02/2005,19,0,10,1,1013,140,15.4
01/02/2005,20,0,10,1,1013,140,16.5
01/02/2005,21,0,10,1,1013,140,17.5
01/02/2005,22,0,10,0.5,1013,150,17
01/02/2005,23,0,10,1,1013,150,16.5
01/02/2005,0,0,10,1,1013,150,16.5
01/03/2005,1,0,10,1,1013,150,17.5
01/03/2005,2,0,10,1,1013,150,15.9
01/03/2005,3,0,10,0,1013,160,19
01/03/2005,4,0,10,0,1013,160,17
01/03/2005,5,0,10,0,1013,170,15.9
01/03/2005,6,0,10,0,1013,170,16.2
01/03/2005,7,0,10,0,1013,170,16.5
01/03/2005,8,0,10,0,1013,180,15.4
01/03/2005,9,0,10,-1,1013,180,13.4
01/03/2005,10,0,10,-1.5,1013,160,14.2
01/03/2005,11,0,9,0.2,1013,140,15.4
01/03/2005,12,0,9,-1,1013,120,16.6
01/03/2005,13,0,10,-3.1,1013,100,17.7
01/03/2005,14,0,10,-5.3,1013,90,18.5
01/03/2005,15,0,10,-3.6,1013,90,19.3
01/03/2005,16,0,10,-3,1013,70,19.2
01/03/2005,17,0,10,-6.3,1013,50,20.2
